,0
213,000655.SZ financial_ratio
214,000656.SZ financial_ratio
215,000657.SZ financial_ratio
216,000659.SZ financial_ratio
217,000661.SZ financial_ratio
218,000663.SZ financial_ratio
219,000665.SZ financial_ratio
220,000666.SZ financial_ratio
221,000667.SZ financial_ratio
222,000668.SZ financial_ratio
223,000669.SZ financial_ratio
224,000671.SZ financial_ratio
225,000672.SZ financial_ratio
226,000673.SZ financial_ratio
227,000676.SZ financial_ratio
228,000677.SZ financial_ratio
229,000678.SZ financial_ratio
230,000679.SZ financial_ratio
231,000680.SZ financial_ratio
232,000681.SZ financial_ratio
233,000682.SZ financial_ratio
234,000683.SZ financial_ratio
235,000685.SZ financial_ratio
236,000686.SZ financial_ratio
237,000687.SZ financial_ratio
238,000688.SZ financial_ratio
239,000690.SZ financial_ratio
240,000691.SZ financial_ratio
241,000692.SZ financial_ratio
242,000695.SZ financial_ratio
243,000697.SZ financial_ratio
244,000698.SZ financial_ratio
245,000700.SZ financial_ratio
246,000701.SZ financial_ratio
247,000702.SZ financial_ratio
248,000703.SZ financial_ratio
249,000705.SZ financial_ratio
250,000707.SZ financial_ratio
251,000708.SZ financial_ratio
252,000709.SZ financial_ratio
253,000710.SZ financial_ratio
254,000711.SZ financial_ratio
255,000712.SZ financial_ratio
256,000713.SZ financial_ratio
257,000715.SZ financial_ratio
258,000716.SZ financial_ratio
259,000717.SZ financial_ratio
260,000718.SZ financial_ratio
261,000719.SZ financial_ratio
262,000720.SZ financial_ratio
263,000721.SZ financial_ratio
264,000722.SZ financial_ratio
265,000723.SZ financial_ratio
266,000725.SZ financial_ratio
267,000726.SZ financial_ratio
268,000727.SZ financial_ratio
269,000728.SZ financial_ratio
270,000729.SZ financial_ratio
271,000731.SZ financial_ratio
272,000732.SZ financial_ratio
273,000733.SZ financial_ratio
274,000735.SZ financial_ratio
275,000736.SZ financial_ratio
276,000737.SZ financial_ratio
277,000738.SZ financial_ratio
278,000739.SZ financial_ratio
279,000750.SZ financial_ratio
280,000751.SZ financial_ratio
281,000752.SZ financial_ratio
282,000753.SZ financial_ratio
283,000755.SZ financial_ratio
284,000756.SZ financial_ratio
285,000757.SZ financial_ratio
286,000758.SZ financial_ratio
287,000759.SZ financial_ratio
288,000761.SZ financial_ratio
289,000762.SZ financial_ratio
290,000766.SZ financial_ratio
291,000767.SZ financial_ratio
292,000768.SZ financial_ratio
293,000776.SZ financial_ratio
294,000777.SZ financial_ratio
295,000778.SZ financial_ratio
296,000779.SZ financial_ratio
297,000782.SZ financial_ratio
298,000783.SZ financial_ratio
299,000785.SZ financial_ratio
300,000786.SZ financial_ratio
301,000788.SZ financial_ratio
302,000789.SZ financial_ratio
303,000790.SZ financial_ratio
304,000791.SZ financial_ratio
305,000792.SZ financial_ratio
306,000793.SZ financial_ratio
307,000795.SZ financial_ratio
308,000796.SZ financial_ratio
309,000797.SZ financial_ratio
310,000798.SZ financial_ratio
311,000799.SZ financial_ratio
312,000800.SZ financial_ratio
313,000801.SZ financial_ratio
314,000802.SZ financial_ratio
315,000803.SZ financial_ratio
316,000806.SZ financial_ratio
317,000807.SZ financial_ratio
318,000809.SZ financial_ratio
319,000810.SZ financial_ratio
320,000811.SZ financial_ratio
321,000812.SZ financial_ratio
322,000813.SZ financial_ratio
323,000815.SZ financial_ratio
324,000816.SZ financial_ratio
325,000818.SZ financial_ratio
326,000819.SZ financial_ratio
327,000820.SZ financial_ratio
328,000821.SZ financial_ratio
329,000822.SZ financial_ratio
330,000823.SZ financial_ratio
331,000825.SZ financial_ratio
332,000826.SZ financial_ratio
333,000828.SZ financial_ratio
334,000829.SZ financial_ratio
335,000830.SZ financial_ratio
336,000831.SZ financial_ratio
337,000833.SZ financial_ratio
338,000835.SZ financial_ratio
339,000836.SZ financial_ratio
340,000837.SZ financial_ratio
341,000838.SZ financial_ratio
342,000839.SZ financial_ratio
343,000848.SZ financial_ratio
344,000850.SZ financial_ratio
345,000851.SZ financial_ratio
346,000852.SZ financial_ratio
347,000856.SZ financial_ratio
348,000858.SZ financial_ratio
349,000859.SZ financial_ratio
350,000860.SZ financial_ratio
351,000861.SZ financial_ratio
352,000862.SZ financial_ratio
353,000863.SZ financial_ratio
354,000868.SZ financial_ratio
355,000869.SZ financial_ratio
356,000875.SZ financial_ratio
357,000876.SZ financial_ratio
358,000877.SZ financial_ratio
359,000878.SZ financial_ratio
360,000880.SZ financial_ratio
361,000881.SZ financial_ratio
362,000882.SZ financial_ratio
363,000883.SZ financial_ratio
364,000885.SZ financial_ratio
365,000886.SZ financial_ratio
366,000887.SZ financial_ratio
367,000888.SZ financial_ratio
368,000889.SZ financial_ratio
369,000890.SZ financial_ratio
370,000892.SZ financial_ratio
371,000893.SZ financial_ratio
372,000895.SZ financial_ratio
373,000897.SZ financial_ratio
374,000898.SZ financial_ratio
375,000899.SZ financial_ratio
376,000900.SZ financial_ratio
377,000901.SZ financial_ratio
378,000902.SZ financial_ratio
379,000903.SZ financial_ratio
380,000905.SZ financial_ratio
381,000906.SZ financial_ratio
382,000908.SZ financial_ratio
383,000909.SZ financial_ratio
384,000910.SZ financial_ratio
385,000911.SZ financial_ratio
386,000912.SZ financial_ratio
387,000913.SZ financial_ratio
388,000915.SZ financial_ratio
389,000917.SZ financial_ratio
390,000918.SZ financial_ratio
391,000919.SZ financial_ratio
392,000920.SZ financial_ratio
393,000921.SZ financial_ratio
394,000922.SZ financial_ratio
395,000923.SZ financial_ratio
396,000925.SZ financial_ratio
397,000926.SZ financial_ratio
398,000927.SZ financial_ratio
399,000928.SZ financial_ratio
400,000929.SZ financial_ratio
401,000930.SZ financial_ratio
402,000931.SZ financial_ratio
403,000932.SZ financial_ratio
404,000933.SZ financial_ratio
405,000935.SZ financial_ratio
406,000936.SZ financial_ratio
407,000937.SZ financial_ratio
408,000938.SZ financial_ratio
409,000948.SZ financial_ratio
410,000949.SZ financial_ratio
411,000950.SZ financial_ratio
412,000951.SZ financial_ratio
413,000952.SZ financial_ratio
414,000953.SZ financial_ratio
415,000955.SZ financial_ratio
416,000957.SZ financial_ratio
417,000958.SZ financial_ratio
418,000959.SZ financial_ratio
419,000960.SZ financial_ratio
420,000962.SZ financial_ratio
421,000963.SZ financial_ratio
422,000965.SZ financial_ratio
423,000966.SZ financial_ratio
424,000967.SZ financial_ratio
425,000968.SZ financial_ratio
426,000969.SZ financial_ratio
427,000970.SZ financial_ratio
428,000971.SZ financial_ratio
429,000972.SZ financial_ratio
430,000973.SZ financial_ratio
431,000975.SZ financial_ratio
432,000976.SZ financial_ratio
433,000977.SZ financial_ratio
434,000978.SZ financial_ratio
435,000980.SZ financial_ratio
436,000981.SZ financial_ratio
437,000982.SZ financial_ratio
438,000983.SZ financial_ratio
439,000985.SZ financial_ratio
440,000987.SZ financial_ratio
441,000988.SZ financial_ratio
442,000989.SZ financial_ratio
443,000990.SZ financial_ratio
444,000993.SZ financial_ratio
445,000995.SZ financial_ratio
446,000996.SZ financial_ratio
447,000997.SZ financial_ratio
448,000998.SZ financial_ratio
449,000999.SZ financial_ratio
450,001201.SZ financial_ratio
451,001202.SZ financial_ratio
452,001203.SZ financial_ratio
453,001205.SZ financial_ratio
454,001206.SZ financial_ratio
455,001207.SZ financial_ratio
456,001208.SZ financial_ratio
457,001209.SZ financial_ratio
458,001210.SZ financial_ratio
459,001211.SZ financial_ratio
460,001212.SZ financial_ratio
461,001213.SZ financial_ratio
462,001215.SZ financial_ratio
463,001216.SZ financial_ratio
464,001217.SZ financial_ratio
465,001218.SZ financial_ratio
466,001219.SZ financial_ratio
467,001227.SZ financial_ratio
468,001234.SZ financial_ratio
469,001266.SZ financial_ratio
470,001267.SZ financial_ratio
471,001288.SZ financial_ratio
472,001289.SZ financial_ratio
473,001296.SZ financial_ratio
474,001313.SZ financial_ratio
475,001317.SZ financial_ratio
476,001696.SZ financial_ratio
477,001872.SZ financial_ratio
478,001896.SZ financial_ratio
479,001914.SZ financial_ratio
480,001965.SZ financial_ratio
481,001979.SZ financial_ratio
482,002001.SZ financial_ratio
483,002002.SZ financial_ratio
484,002003.SZ financial_ratio
485,002004.SZ financial_ratio
486,002005.SZ financial_ratio
487,002006.SZ financial_ratio
488,002007.SZ financial_ratio
489,002008.SZ financial_ratio
490,002009.SZ financial_ratio
491,002010.SZ financial_ratio
492,002011.SZ financial_ratio
493,002012.SZ financial_ratio
494,002013.SZ financial_ratio
495,002014.SZ financial_ratio
496,002015.SZ financial_ratio
497,002016.SZ financial_ratio
498,002017.SZ financial_ratio
499,002019.SZ financial_ratio
500,002020.SZ financial_ratio
501,002021.SZ financial_ratio
502,002022.SZ financial_ratio
503,002023.SZ financial_ratio
504,002024.SZ financial_ratio
505,002025.SZ financial_ratio
506,002026.SZ financial_ratio
507,002027.SZ financial_ratio
508,002028.SZ financial_ratio
509,002029.SZ financial_ratio
510,002030.SZ financial_ratio
511,002031.SZ financial_ratio
512,002032.SZ financial_ratio
513,002033.SZ financial_ratio
514,002034.SZ financial_ratio
515,002035.SZ financial_ratio
516,002036.SZ financial_ratio
517,002037.SZ financial_ratio
518,002038.SZ financial_ratio
519,002039.SZ financial_ratio
520,002040.SZ financial_ratio
521,002041.SZ financial_ratio
522,002042.SZ financial_ratio
523,002043.SZ financial_ratio
524,002044.SZ financial_ratio
525,002045.SZ financial_ratio
526,002046.SZ financial_ratio
527,002047.SZ financial_ratio
528,002048.SZ financial_ratio
529,002049.SZ financial_ratio
530,002050.SZ financial_ratio
531,002051.SZ financial_ratio
532,002052.SZ financial_ratio
533,002053.SZ financial_ratio
534,002054.SZ financial_ratio
535,002055.SZ financial_ratio
536,002057.SZ financial_ratio
537,002059.SZ financial_ratio
538,002060.SZ financial_ratio
539,002061.SZ financial_ratio
540,002063.SZ financial_ratio
541,002064.SZ financial_ratio
542,002065.SZ financial_ratio
543,002066.SZ financial_ratio
544,002067.SZ financial_ratio
545,002068.SZ financial_ratio
546,002069.SZ financial_ratio
547,002072.SZ financial_ratio
548,002073.SZ financial_ratio
549,002074.SZ financial_ratio
550,002075.SZ financial_ratio
551,002076.SZ financial_ratio
552,002077.SZ financial_ratio
553,002079.SZ financial_ratio
554,002081.SZ financial_ratio
555,002082.SZ financial_ratio
556,002083.SZ financial_ratio
557,002084.SZ financial_ratio
558,002085.SZ financial_ratio
559,002087.SZ financial_ratio
560,002088.SZ financial_ratio
561,002089.SZ financial_ratio
562,002090.SZ financial_ratio
563,002092.SZ financial_ratio
564,002093.SZ financial_ratio
565,002094.SZ financial_ratio
566,002096.SZ financial_ratio
567,002097.SZ financial_ratio
568,002098.SZ financial_ratio
569,002100.SZ financial_ratio
570,002101.SZ financial_ratio
571,002102.SZ financial_ratio
572,002103.SZ financial_ratio
573,002104.SZ financial_ratio
574,002105.SZ financial_ratio
575,002106.SZ financial_ratio
576,002107.SZ financial_ratio
577,002108.SZ financial_ratio
578,002109.SZ financial_ratio
579,002110.SZ financial_ratio
580,002111.SZ financial_ratio
581,002112.SZ financial_ratio
582,002113.SZ financial_ratio
583,002114.SZ financial_ratio
584,002115.SZ financial_ratio
585,002116.SZ financial_ratio
586,002117.SZ financial_ratio
587,002118.SZ financial_ratio
588,002119.SZ financial_ratio
589,002120.SZ financial_ratio
590,002121.SZ financial_ratio
591,002122.SZ financial_ratio
592,002123.SZ financial_ratio
593,002124.SZ financial_ratio
594,002125.SZ financial_ratio
595,002126.SZ financial_ratio
596,002127.SZ financial_ratio
597,002128.SZ financial_ratio
598,002129.SZ financial_ratio
599,002130.SZ financial_ratio
600,002131.SZ financial_ratio
601,002132.SZ financial_ratio
602,002133.SZ financial_ratio
603,002134.SZ financial_ratio
604,002135.SZ financial_ratio
605,002136.SZ financial_ratio
606,002137.SZ financial_ratio
607,002138.SZ financial_ratio
608,002139.SZ financial_ratio
609,002140.SZ financial_ratio
610,002141.SZ financial_ratio
611,002142.SZ financial_ratio
612,002144.SZ financial_ratio
613,002145.SZ financial_ratio
614,002146.SZ financial_ratio
615,002147.SZ financial_ratio
616,002148.SZ financial_ratio
617,002149.SZ financial_ratio
618,002150.SZ financial_ratio
619,002151.SZ financial_ratio
620,002152.SZ financial_ratio
621,002153.SZ financial_ratio
622,002154.SZ financial_ratio
623,002155.SZ financial_ratio
624,002156.SZ financial_ratio
625,002157.SZ financial_ratio
626,002158.SZ financial_ratio
627,002159.SZ financial_ratio
628,002160.SZ financial_ratio
629,002161.SZ financial_ratio
630,002162.SZ financial_ratio
631,002163.SZ financial_ratio
632,002164.SZ financial_ratio
633,002165.SZ financial_ratio
634,002166.SZ financial_ratio
635,002167.SZ financial_ratio
636,002168.SZ financial_ratio
637,002169.SZ financial_ratio
638,002170.SZ financial_ratio
639,002171.SZ financial_ratio
640,002172.SZ financial_ratio
641,002173.SZ financial_ratio
642,002174.SZ financial_ratio
643,002175.SZ financial_ratio
644,002176.SZ financial_ratio
645,002177.SZ financial_ratio
646,002178.SZ financial_ratio
647,002179.SZ financial_ratio
648,002180.SZ financial_ratio
649,002181.SZ financial_ratio
650,002182.SZ financial_ratio
651,002183.SZ financial_ratio
652,002184.SZ financial_ratio
653,002185.SZ financial_ratio
654,002186.SZ financial_ratio
655,002187.SZ financial_ratio
656,002188.SZ financial_ratio
657,002189.SZ financial_ratio
658,002190.SZ financial_ratio
659,002191.SZ financial_ratio
660,002192.SZ financial_ratio
661,002193.SZ financial_ratio
662,002194.SZ financial_ratio
663,002195.SZ financial_ratio
664,002196.SZ financial_ratio
665,002197.SZ financial_ratio
666,002198.SZ financial_ratio
667,002199.SZ financial_ratio
668,002200.SZ financial_ratio
669,002201.SZ financial_ratio
670,002202.SZ financial_ratio
671,002203.SZ financial_ratio
672,002204.SZ financial_ratio
673,002205.SZ financial_ratio
674,002206.SZ financial_ratio
675,002207.SZ financial_ratio
676,002208.SZ financial_ratio
677,002209.SZ financial_ratio
678,002210.SZ financial_ratio
679,002211.SZ financial_ratio
680,002212.SZ financial_ratio
681,002213.SZ financial_ratio
682,002214.SZ financial_ratio
683,002215.SZ financial_ratio
684,002216.SZ financial_ratio
685,002217.SZ financial_ratio
686,002218.SZ financial_ratio
687,002219.SZ financial_ratio
688,002221.SZ financial_ratio
689,002222.SZ financial_ratio
690,002223.SZ financial_ratio
691,002224.SZ financial_ratio
692,002225.SZ financial_ratio
693,002226.SZ financial_ratio
694,002227.SZ financial_ratio
695,002228.SZ financial_ratio
696,002229.SZ financial_ratio
697,002230.SZ financial_ratio
698,002231.SZ financial_ratio
699,002232.SZ financial_ratio
700,002233.SZ financial_ratio
701,002234.SZ financial_ratio
702,002235.SZ financial_ratio
703,002236.SZ financial_ratio
704,002237.SZ financial_ratio
705,002238.SZ financial_ratio
706,002239.SZ financial_ratio
707,002240.SZ financial_ratio
708,002241.SZ financial_ratio
709,002242.SZ financial_ratio
710,002243.SZ financial_ratio
711,002244.SZ financial_ratio
712,002245.SZ financial_ratio
713,002246.SZ financial_ratio
714,002247.SZ financial_ratio
715,002248.SZ financial_ratio
716,002249.SZ financial_ratio
717,002250.SZ financial_ratio
718,002251.SZ financial_ratio
719,002252.SZ financial_ratio
720,002253.SZ financial_ratio
721,002254.SZ financial_ratio
722,002255.SZ financial_ratio
723,002256.SZ financial_ratio
724,002258.SZ financial_ratio
725,002259.SZ financial_ratio
726,002261.SZ financial_ratio
727,002262.SZ financial_ratio
728,002263.SZ financial_ratio
729,002264.SZ financial_ratio
730,002265.SZ financial_ratio
731,002266.SZ financial_ratio
732,002267.SZ financial_ratio
733,002268.SZ financial_ratio
734,002269.SZ financial_ratio
735,002270.SZ financial_ratio
736,002271.SZ financial_ratio
737,002272.SZ financial_ratio
738,002273.SZ financial_ratio
739,002274.SZ financial_ratio
740,002275.SZ financial_ratio
741,002276.SZ financial_ratio
742,002277.SZ financial_ratio
743,002278.SZ financial_ratio
744,002279.SZ financial_ratio
745,002280.SZ financial_ratio
746,002281.SZ financial_ratio
747,002282.SZ financial_ratio
748,002283.SZ financial_ratio
749,002284.SZ financial_ratio
750,002285.SZ financial_ratio
751,002286.SZ financial_ratio
752,002287.SZ financial_ratio
753,002288.SZ financial_ratio
754,002289.SZ financial_ratio
755,002290.SZ financial_ratio
756,002291.SZ financial_ratio
757,002292.SZ financial_ratio
758,002293.SZ financial_ratio
759,002294.SZ financial_ratio
760,002295.SZ financial_ratio
761,002296.SZ financial_ratio
762,002297.SZ financial_ratio
763,002298.SZ financial_ratio
764,002299.SZ financial_ratio
765,002300.SZ financial_ratio
766,002301.SZ financial_ratio
767,002302.SZ financial_ratio
768,002303.SZ financial_ratio
769,002304.SZ financial_ratio
770,002305.SZ financial_ratio
771,002306.SZ financial_ratio
772,002307.SZ financial_ratio
773,002308.SZ financial_ratio
774,002309.SZ financial_ratio
775,002310.SZ financial_ratio
776,002311.SZ financial_ratio
777,002312.SZ financial_ratio
778,002313.SZ financial_ratio
779,002314.SZ financial_ratio
780,002315.SZ financial_ratio
781,002316.SZ financial_ratio
782,002317.SZ financial_ratio
783,002318.SZ financial_ratio
784,002319.SZ financial_ratio
785,002320.SZ financial_ratio
786,002321.SZ financial_ratio
787,002322.SZ financial_ratio
788,002323.SZ financial_ratio
789,002324.SZ financial_ratio
790,002325.SZ financial_ratio
791,002326.SZ financial_ratio
792,002327.SZ financial_ratio
793,002328.SZ financial_ratio
794,002329.SZ financial_ratio
795,002330.SZ financial_ratio
796,002331.SZ financial_ratio
797,002332.SZ financial_ratio
798,002333.SZ financial_ratio
799,002334.SZ financial_ratio
800,002335.SZ financial_ratio
801,002336.SZ financial_ratio
802,002337.SZ financial_ratio
803,002338.SZ financial_ratio
804,002339.SZ financial_ratio
805,002340.SZ financial_ratio
806,002341.SZ financial_ratio
807,002342.SZ financial_ratio
808,002343.SZ financial_ratio
809,002344.SZ financial_ratio
810,002345.SZ financial_ratio
811,002346.SZ financial_ratio
812,002347.SZ financial_ratio
813,002348.SZ financial_ratio
